Processed 815, Round: 16, Time: 22.49s
Processed 140, Round: 0, Time: 382.44s
Processed 338, Round: 10, Time: 35.04s
Processed 873, Round: 0, Time: 386.97s
Processed 276, Round: 0, Time: 391.08s
Processed 365, Round: 34, Time: 11.16s
Processed 155, Round: 0, Time: 393.39s
Processed 577, Round: 0, Time: 397.76s
Processed 393, Round: 2, Time: 133.34s
Processed 630, Round: 18, Time: 21.14s
Processed 365, Round: 35, Time: 11.16s
Processed 815, Round: 17, Time: 22.49s
Processed 90, Round: 15, Time: 25.28s
Processed 536, Round: 0, Time: 412.71s
Processed 365, Round: 36, Time: 11.17s
Processed 154, Round: 9, Time: 41.75s
Processed 338, Round: 11, Time: 35.02s
Processed 630, Round: 19, Time: 21.16s
Processed 365, Round: 37, Time: 11.19s
Processed 919, Round: 7, Time: 53.18s
Processed 815, Round: 18, Time: 22.50s
Processed 90, Round: 16, Time: 25.29s
Processed 113, Round: 4, Time: 86.05s
Processed 847, Round: 1, Time: 216.07s
Processed 451, Round: 0, Time: 433.11s
Processed 365, Round: 38, Time: 11.17s
Processed 287, Round: 1, Time: 218.42s
Processed 787, Round: 0, Time: 442.15s
Processed 430, Round: 1, Time: 221.53s
Processed 630, Round: 20, Time: 21.15s
Processed 548, Round: 1, Time: 222.83s
Processed 930, Round: 5, Time: 74.47s
Processed 365, Round: 39, Time: 11.16s
Processed 586, Round: 0, Time: 449.51s
Processed 815, Round: 19, Time: 22.48s
Processed 338, Round: 12, Time: 35.03s
Processed 90, Round: 17, Time: 25.30s
Processed 365, Round: 40, Time: 11.19s
Processed 154, Round: 10, Time: 41.76s
Processed 361, Round: 4, Time: 92.21s
Processed 977, Round: 0, Time: 462.45s
Processed 727, Round: 0, Time: 464.41s
Processed 630, Round: 21, Time: 21.14s
Processed 486, Round: 0, Time: 467.13s
Processed 702, Round: 3, Time: 116.84s
Processed 365, Round: 41, Time: 11.18s
Processed 815, Round: 20, Time: 22.48s
Processed 568, Round: 1, Time: 236.63s
Processed 905, Round: 0, Time: 473.25s
Processed 916, Round: 1, Time: 237.24s
Processed 993, Round: 1, Time: 239.09s
Processed 919, Round: 8, Time: 53.18s
